postcode,sector,easting,northing,localAuthority
YO62 4LS,YO62 4,467631.0,472825.0,Ryedale
DE2 3DA,DE2 3,434011.0,330722.0,South Derbyshire
LN5 7RW,LN5 7,497441.0,370798.0,Lincoln
CM3 1DW,CM3 1,571061.0,207179.0,Chelmsford
CH60 0WA,CH60 0,326913.0,381988.0,Wirral
WS11 8XR,WS11 8,398564.0,308532.0,Cannock Chase
NR32 2NF,NR32 2,654500.0,293700.0,East Suffolk
M24 2TS,M24 2,388320.0,405802.0,Rochdale
SO31 6BW,SO31 6,450124.0,107139.0,Fareham
CH1 1GZ,CH1 1,340737.0,366178.0,Cheshire West and Chester
RG40 3TA,RG40 3,480366.0,163625.0,Wokingham
RM1 2YA,RM1 2,550531.0,187941.0,Havering
CM14 5TE,CM14 5,556422.0,197830.0,Brentwood
SL6 3BS,SL6 3,487230.0,179676.0,Windsor and Maidenhead
RG26 9DG,RG26 9,462321.0,153521.0,Basingstoke and Deane
HU17 7AQ,HU17 7,502909.0,439930.0,East Riding of Yorkshire
RH13 7JT,RH13 7,515772.0,129162.0,Horsham
NW11 7XG,NW11 7,524968.0,188785.0,Barnet
PO3 5QP,PO3 5,466853.0,102850.0,Portsmouth
TF9 9DY,TF9 9,367497.0,334321.0,Shropshire
CV10 7AU,CV10 7,436180.0,289947.0,Nuneaton and Bedworth
IG10 2QH,IG10 2,543181.0,197561.0,Epping Forest
CM7 9AU,CM7 9,576095.0,224164.0,Braintree
WA4 1JE,WA4 1,362230.0,387327.0,Warrington
BN1 6QB,BN1 6,530647.0,106685.0,Brighton and Hove
AL1 5FW,AL1 5,517011.0,206639.0,St Albans
CM5 0BE,CM5 0,554737.0,203975.0,Epping Forest
W12 0EB,W12 0,523006.0,181208.0,Hammersmith and Fulham
LE9 7BB,LE9 7,446910.0,297870.0,Hinckley and Bosworth
HD4 6TJ,HD4 6,416625.0,414483.0,Kirklees
LA1 3JJ,LA1 3,349329.0,460613.0,Lancaster
SS16 5SU,SS16 5,569400.0,187700.0,Basildon
DL1 5GU,DL1 5,429177.0,514182.0,Darlington
NE67 5DZ,NE67 5,417848.0,622389.0,Northumberland
CB1 0NY,CB1 0,546182.0,257043.0,Cambridge
NW3 9XQ,NW3 9,526702.0,185514.0,Camden
HU8 9HE,HU8 9,513459.0,432489.0,"Kingston upon Hull, City of"
PE29 1HY,PE29 1,524008.0,272098.0,Huntingdonshire
ME10 2LE,ME10 2,590079.0,164254.0,Swale
RG26 5YZ,RG26 5,466800.0,158700.0,Basingstoke and Deane
EC3N 3AN,EC3N 3,533459.0,180959.0,City of London
CA11 9DY,CA11 9,350905.0,530053.0,Eden
E11 1PD,E11 1,540419.0,189272.0,Redbridge
WA11 8ER,WA11 8,348270.0,400288.0,St. Helens
RG45 7PN,RG45 7,483798.0,163204.0,Bracknell Forest
NE6 3DZ,NE6 3,429263.0,564026.0,Newcastle upon Tyne
M23 2XB,M23 2,381265.0,387255.0,Manchester
PE1 4QS,PE1 4,519370.0,300642.0,Peterborough
TR14 8US,TR14 8,164797.0,39742.0,Cornwall
PE19 5GH,PE19 5,521843.0,265780.0,Huntingdonshire
TN37 7TT,TN37 7,578831.0,112681.0,Hastings
NN7 4BQ,NN7 4,469963.0,259537.0,West Northamptonshire
